,Price Groups,1,2,3,4,5,6,7,8,Weight Not Over(lbs.),Price Group,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Price Group—Continued
0,Flat Rate Envelopes (Max. Wt. 4 lbs.),$54.75,$64.30,$75.55,$68.70,$71.60,$73.55,$70.65,$75.55,,,,,,,,,,,,
87,,,,,,,,,,13.0,,190.10,147.40,156.25,121.55,117.55,145.25,132.50,176.40,136.60,134.90
88,,,,,,,,,,14.0,,198.65,152.85,163.70,125.35,121.65,150.00,136.70,183.45,140.80,140.20
89,,,,,,,,,,15.0,,207.25,158.35,171.10,129.30,125.65,154.90,140.85,190.60,144.95,145.55
90,,,,,,,,,,16.0,,215.80,163.70,178.55,133.20,129.75,159.65,145.00,197.75,149.15,150.80
91,,,,,,,,,,17.0,,224.40,169.20,185.95,137.05,133.85,164.45,149.15,204.80,153.35,156.15
92,,,,,,,,,,18.0,,233.00,174.65,193.45,140.95,137.95,169.30,153.35,211.95,157.60,161.45
93,,,,,,,,,,19.0,,241.55,180.10,200.85,144.80,142.05,174.10,157.50,219.10,161.75,166.80
94,,,,,,,,,,20.0,,250.15,185.60,208.30,148.75,146.15,178.85,161.70,226.15,165.95,172.00
95,,,,,,,,,,21.0,,258.65,191.00,208.75,152.65,150.20,183.70,166.15,245.05,170.80,177.00
96,,,,,,,,,,22.0,,267.25,196.50,215.20,156.45,154.30,188.50,170.35,252.50,174.95,182.30
97,,,,,,,,,,23.0,,275.90,202.00,221.65,160.40,158.40,193.35,174.55,259.95,179.20,187.60
98,,,,,,,,,,24.0,,284.40,207.45,228.10,164.20,162.50,198.10,178.70,267.45,183.45,192.90
99,,,,,,,,,,25.0,,293.00,212.85,234.55,168.20,166.55,202.95,182.90,274.95,187.60,198.20
100,,,,,,,,,,26.0,,301.50,218.35,241.05,172.05,170.60,207.75,187.05,282.35,191.80,203.50
101,,,,,,,,,,27.0,,310.15,223.80,247.50,175.90,174.70,212.55,191.25,289.85,196.10,208.80
102,,,,,,,,,,28.0,,318.70,229.25,254.00,179.85,178.80,217.35,195.45,297.35,200.20,214.05
103,,,,,,,,,,29.0,,327.25,234.75,260.45,183.75,182.90,222.15,199.55,304.80,204.50,219.35
104,,,,,,,,,,30.0,,335.80,240.15,266.90,187.60,187.00,227.00,203.75,312.30,208.65,224.70
105,,,,,,,,,,31.0,,344.40,245.70,273.10,191.65,190.85,231.50,208.10,319.65,214.35,229.50
106,,,,,,,,,,32.0,,352.90,251.15,279.55,195.60,194.95,236.40,212.30,327.10,218.55,234.80
107,,,,,,,,,,33.0,,361.55,256.60,286.00,199.40,199.00,241.15,216.55,334.60,222.75,240.10
108,,,,,,,,,,34.0,,370.10,262.10,292.45,203.35,203.10,245.95,220.70,342.05,227.05,245.40
109,,,,,,,,,,35.0,,378.65,267.50,298.90,207.25,207.20,250.75,224.85,349.60,231.20,250.70
110,,,,,,,,,,36.0,,387.25,272.95,305.40,211.10,211.25,255.55,229.00,357.00,235.50,255.95
111,,,,,,,,,,37.0,,395.80,278.40,311.85,215.00,215.30,260.35,233.20,364.50,239.75,261.25
112,,,,,,,,,,38.0,,404.40,283.95,318.30,218.95,219.40,265.15,237.40,371.95,243.95,266.50
113,,,,,,,,,,39.0,,413.00,289.35,324.75,222.80,223.50,269.95,241.55,379.45,248.20,271.80
114,,,,,,,,,,40.0,,421.50,294.80,331.20,226.70,227.60,274.80,245.80,386.85,252.40,277.10
115,,,,,,,,,,41.0,,430.50,300.55,337.70,230.80,231.60,279.30,249.95,396.35,264.50,282.15
116,,,,,,,,,,42.0,,439.10,306.05,344.15,234.65,235.70,284.10,254.15,403.80,268.90,287.35
117,,,,,,,,,,43.0,,447.65,311.50,350.60,238.60,239.80,288.90,258.30,411.30,273.25,292.65
118,,,,,,,,,,44.0,,456.25,316.90,357.05,242.55,243.90,293.70,262.45,418.90,277.60,297.95
119,,,,,,,,,,45.0,,464.80,322.35,363.50,246.35,247.95,298.50,266.65,426.35,282.00,303.15
120,,,,,,,,,,46.0,,473.40,327.90,369.95,250.30,252.00,303.25,270.85,433.90,286.35,308.50
121,,,,,,,,,,47.0,,482.00,333.35,376.40,254.10,256.10,308.10,275.05,441.40,290.70,313.80
122,,,,,,,,,,48.0,,490.55,338.85,382.85,258.05,260.20,312.85,279.25,448.85,295.10,319.05
123,,,,,,,,,,49.0,,499.15,344.30,389.35,261.95,264.30,317.70,283.35,456.40,299.45,324.35
124,,,,,,,,,,50.0,,507.70,349.75,395.80,265.80,268.40,322.45,287.55,463.95,303.80,329.65
125,,,,,,,,,,51.0,,516.30,355.20,401.45,270.25,272.15,326.90,292.05,472.20,313.50,334.60
126,,,,,,,,,,52.0,,524.90,360.70,407.90,274.10,276.20,331.75,296.15,479.70,317.90,339.90
127,,,,,,,,,,53.0,,533.45,366.10,414.35,278.10,280.35,336.50,300.40,487.25,322.40,345.15
128,,,,,,,,,,54.0,,542.05,371.60,420.80,281.90,284.45,341.35,304.60,494.75,326.80,350.35
129,,,,,,,,,,55.0,,550.60,377.05,427.25,285.85,288.45,346.10,308.75,502.25,331.30,355.65
130,,,,,,,,,,56.0,,559.20,382.50,433.65,289.75,292.55,350.95,312.90,509.80,335.65,360.95
131,,,,,,,,,,57.0,,567.80,388.05,440.15,293.65,296.60,355.70,317.15,517.30,340.20,366.20
132,,,,,,,,,,58.0,,576.35,393.45,446.60,297.55,300.70,360.50,321.30,524.80,344.60,371.50
133,,,,,,,,,,59.0,,585.00,398.95,453.00,301.50,304.80,365.30,325.45,532.35,349.05,376.80
134,,,,,,,,,,60.0,,593.50,404.40,459.45,305.35,308.85,370.10,329.70,539.90,353.45,382.10
135,,,,,,,,,,61.0,,602.15,410.20,465.50,309.85,312.90,374.55,334.15,548.30,361.25,387.35
136,,,,,,,,,,62.0,,610.70,415.70,471.90,313.75,317.00,379.30,338.40,555.85,365.75,392.60
137,,,,,,,,,,63.0,,619.30,421.10,478.35,317.70,321.10,384.15,342.55,563.35,370.20,397.90
138,,,,,,,,,,64.0,,627.85,426.70,484.75,321.60,325.20,388.90,346.75,570.90,374.70,403.20
139,,,,,,,,,,65.0,,636.50,432.15,491.25,325.50,329.25,393.65,350.90,578.40,379.20,408.45
140,,,,,,,,,,66.0,,645.00,437.65,497.65,329.40,333.30,398.45,355.15,585.95,383.65,413.75
141,,,,,,,,,,67.0,,-,-,-,-,-,-,-,593.50,-,419.00
142,,,,,,,,,,68.0,,-,-,-,-,-,-,-,601.00,-,424.30
143,,,,,,,,,,69.0,,-,-,-,-,-,-,-,608.60,-,429.55
144,,,,,,,,,,70.0,,-,-,-,-,-,-,-,616.05,-,434.80
